alert_id,customer_id,account_id,amount,status,type,date,branch,remarks,flag
AL1,C1000,A2000,,PENDING,LOAN,2024-09-04,B10,,N
AL2,C1001,A2001,42816.96,INACTIVE,CURRENT,2024-02-13,B16,OK,N
AL3,C1002,A2002,29965.55,INACTIVE,SAVINGS,2021-01-22,B12,OK,N
AL4,C1003,A2003,44362.71,INACTIVE,LOAN,2023-04-21,B19,OK,N
AL5,C1004,A2004,39255.54,PENDING,CURRENT,2025-04-29,B17,OK,N
AL6,C1005,A2005,10073.03,INACTIVE,SAVINGS,2022-08-10,B1,OK,N
AL7,C1006,A2006,44057.94,ACTIVE,CURRENT,2023-12-25,B14,OK,N
AL8,C1007,A2007,17079.06,PENDING,CURRENT,2022-09-01,B7,OK,Y
AL9,C1008,A2008,14571.72,INACTIVE,LOAN,2022-04-30,B2,OK,Y
AL10,C1009,A2009,25604.15,PENDING,SAVINGS,2025-02-14,B1,OK,Y
AL11,C1010,A2010,49188.7,ACTIVE,LOAN,2022-03-31,B13,OK,N
AL12,C1011,A2011,41995.96,PENDING,LOAN,2024-05-03,B6,OK,Y
AL13,C1012,A2012,13597.81,PENDING,LOAN,2022-05-03,B11,OK,N
AL14,C1013,A2013,15392.68,PENDING,LOAN,2024-01-25,B10,OK,Y
AL15,C1014,A2014,3530.2,INACTIVE,CURRENT,2024-12-18,B13,OK,Y
AL16,C1015,A2015,27319.04,ACTIVE,CURRENT,2020-05-18,B9,OK,Y
AL17,C1016,A2016,47296.72,INACTIVE,SAVINGS,2024-04-14,B14,OK,Y
AL18,C1017,A2017,30163.39,ACTIVE,CURRENT,2020-09-18,B16,OK,Y
AL19,C1018,A2018,20602.34,PENDING,SAVINGS,2020-05-15,B6,OK,N
AL20,C1019,A2019,9674.2,PENDING,CURRENT,2021-04-11,B14,OK,Y
AL21,C1020,A2020,33996.83,INACTIVE,CURRENT,2020-08-22,B1,OK,N
AL22,C1021,A2021,38631.51,INACTIVE,SAVINGS,2023-06-21,B19,OK,Y
AL23,C1022,A2022,39354.51,ACTIVE,CURRENT,2023-07-28,B20,OK,Y
AL24,C1023,A2023,33948.45,ACTIVE,CURRENT,2020-05-22,B13,OK,N
AL25,C1024,A2024,2782.59,INACTIVE,LOAN,2022-07-18,B18,OK,N
AL26,C1025,A2025,15757.19,INACTIVE,LOAN,2025-02-20,B19,,Y
AL27,C1026,A2026,48300.04,ACTIVE,CURRENT,2020-10-15,B6,OK,N
AL28,C1027,A2027,48889.61,ACTIVE,LOAN,2024-10-17,B17,OK,N
AL29,C1028,A2028,11483.07,ACTIVE,LOAN,2021-11-06,B14,OK,Y
AL30,C1029,A2029,26653.74,PENDING,CURRENT,2020-11-30,B8,OK,Y
AL31,C1030,A2030,13400.2,PENDING,SAVINGS,2021-02-25,B4,OK,Y
AL32,C1031,A2031,32968.94,INACTIVE,LOAN,2020-09-05,B8,OK,N
AL33,C1032,A2032,23656.93,INACTIVE,LOAN,2020-05-12,B1,OK,N
AL34,C1033,A2033,36436.79,ACTIVE,SAVINGS,2024-12-13,B13,OK,Y
AL35,C1034,A2034,9050.89,INACTIVE,CURRENT,2021-02-10,B2,OK,N
AL36,C1035,A2035,12747.53,ACTIVE,SAVINGS,2024-07-24,B4,OK,N
AL37,C1036,A2036,30018.05,INACTIVE,SAVINGS,2020-01-11,B3,OK,Y
AL38,C1037,A2037,12710.5,PENDING,SAVINGS,2024-07-27,B13,OK,Y
AL39,C1038,A2038,46032.76,INACTIVE,LOAN,2021-10-15,B2,OK,N
AL40,C1039,A2039,8017.56,ACTIVE,SAVINGS,2024-08-29,B2,OK,Y
AL41,C1040,A2040,,ACTIVE,CURRENT,2021-07-05,B1,OK,Y
AL42,C1041,A2041,21742.09,PENDING,CURRENT,2024-03-26,B5,OK,Y
AL43,C1042,A2042,15854.53,PENDING,LOAN,2020-01-04,B19,OK,Y
AL44,C1043,A2043,14390.57,ACTIVE,CURRENT,2024-06-09,B6,OK,N
AL45,C1044,A2044,16689.12,INACTIVE,SAVINGS,2021-03-26,B18,OK,Y
AL46,C1045,A2045,10875.1,PENDING,LOAN,2022-01-25,B9,OK,Y
AL47,C1046,A2046,44719.87,PENDING,SAVINGS,2022-02-20,B7,OK,N
