document_id,customer_id,account_id,amount,status,type,date,branch,remarks,flag
DO1,C1000,A2000,,ACTIVE,CURRENT,2024-04-26,B2,,Y
DO2,C1001,A2001,36409.87,PENDING,SAVINGS,2022-01-25,B7,OK,N
DO3,C1002,A2002,35891.26,ACTIVE,LOAN,2021-11-07,B11,OK,N
DO4,C1003,A2003,46431.71,INACTIVE,LOAN,2021-06-11,B7,OK,N
DO5,C1004,A2004,26091.56,INACTIVE,SAVINGS,2025-01-03,B4,OK,Y
DO6,C1005,A2005,2825.35,ACTIVE,CURRENT,2022-12-25,B7,OK,N
DO7,C1006,A2006,39616.94,INACTIVE,LOAN,2024-12-06,B3,OK,N
DO8,C1007,A2007,10550.64,ACTIVE,CURRENT,2024-05-10,B8,OK,Y
DO9,C1008,A2008,12202.06,INACTIVE,LOAN,2024-05-30,B13,OK,N
DO10,C1009,A2009,30855.35,ACTIVE,LOAN,2020-09-30,B11,OK,N
DO11,C1010,A2010,2403.19,INACTIVE,CURRENT,2022-05-13,B20,OK,Y
DO12,C1011,A2011,36539.33,ACTIVE,LOAN,2024-11-20,B1,OK,Y
DO13,C1012,A2012,18830.66,INACTIVE,LOAN,2023-09-30,B20,OK,Y
DO14,C1013,A2013,4396.29,ACTIVE,LOAN,2022-11-09,B6,OK,N
DO15,C1014,A2014,40399.42,INACTIVE,CURRENT,2020-07-10,B17,OK,N
DO16,C1015,A2015,15552.57,ACTIVE,SAVINGS,2024-01-18,B12,OK,N
DO17,C1016,A2016,22028.45,ACTIVE,LOAN,2023-09-26,B16,OK,Y
DO18,C1017,A2017,19798.98,INACTIVE,SAVINGS,2024-12-05,B4,OK,Y
DO19,C1018,A2018,3424.72,PENDING,LOAN,2024-11-22,B16,OK,Y
DO20,C1019,A2019,18916.68,INACTIVE,LOAN,2022-11-20,B17,OK,N
DO21,C1020,A2020,5131.59,PENDING,LOAN,2021-06-13,B9,OK,N
DO22,C1021,A2021,18247.09,PENDING,CURRENT,2025-01-26,B12,OK,Y
DO23,C1022,A2022,7839.62,PENDING,LOAN,2022-02-07,B8,OK,Y
DO24,C1023,A2023,27418.86,PENDING,LOAN,2023-11-22,B7,OK,Y
DO25,C1024,A2024,11462.75,ACTIVE,CURRENT,2023-02-21,B4,OK,Y
DO26,C1025,A2025,31638.97,INACTIVE,LOAN,2020-08-14,B15,,N
DO27,C1026,A2026,7898.47,ACTIVE,LOAN,2024-12-10,B3,OK,Y
DO28,C1027,A2027,25043.34,INACTIVE,CURRENT,2024-06-18,B20,OK,N
DO29,C1028,A2028,36332.34,INACTIVE,SAVINGS,2022-05-29,B17,OK,N
DO30,C1029,A2029,9911.88,INACTIVE,LOAN,2022-04-25,B9,OK,N
DO31,C1030,A2030,8480.07,ACTIVE,SAVINGS,2023-08-15,B10,OK,N
DO32,C1031,A2031,26890.11,ACTIVE,SAVINGS,2023-02-02,B4,OK,Y
DO33,C1032,A2032,14272.33,PENDING,SAVINGS,2020-02-22,B11,OK,N
DO34,C1033,A2033,49211.1,ACTIVE,CURRENT,2021-01-19,B19,OK,Y
DO35,C1034,A2034,22253.17,ACTIVE,SAVINGS,2021-07-18,B18,OK,N
DO36,C1035,A2035,44855.52,PENDING,LOAN,2023-09-04,B3,OK,N
DO37,C1036,A2036,7274.15,PENDING,SAVINGS,2023-01-17,B2,OK,N
DO38,C1037,A2037,4923.3,INACTIVE,SAVINGS,2020-03-05,B19,OK,Y
DO39,C1038,A2038,41216.41,PENDING,CURRENT,2022-05-14,B2,OK,Y
DO40,C1039,A2039,8184.73,PENDING,SAVINGS,2024-07-16,B19,OK,Y
DO41,C1040,A2040,,INACTIVE,SAVINGS,2023-10-13,B7,OK,Y
DO42,C1041,A2041,16531.91,PENDING,SAVINGS,2021-09-22,B19,OK,Y
DO43,C1042,A2042,39426.99,ACTIVE,LOAN,2022-07-01,B4,OK,N
DO44,C1043,A2043,27483.8,INACTIVE,LOAN,2022-06-28,B12,OK,N
DO45,C1044,A2044,44485.0,PENDING,CURRENT,2022-11-24,B15,OK,Y
DO46,C1045,A2045,26178.53,INACTIVE,LOAN,2024-11-18,B1,OK,Y
DO47,C1046,A2046,34328.5,INACTIVE,SAVINGS,2020-05-04,B20,OK,Y
DO48,C1047,A2047,7253.3,PENDING,CURRENT,2020-09-22,B1,OK,N
DO49,C1048,A2048,34532.08,INACTIVE,SAVINGS,2021-10-21,B19,OK,Y
DO50,C1049,A2049,21856.22,INACTIVE,SAVINGS,2022-04-12,B3,OK,Y
DO51,C1050,A2050,38250.7,INACTIVE,CURRENT,2023-04-15,B4,,Y
DO52,C1051,A2051,47392.57,INACTIVE,SAVINGS,2021-07-09,B9,OK,N
DO53,C1052,A2052,34226.64,INACTIVE,SAVINGS,2021-02-06,B6,OK,Y
DO54,C1053,A2053,22800.0,ACTIVE,CURRENT,2024-07-27,B17,OK,N
DO55,C1054,A2054,21103.9,PENDING,CURRENT,2023-07-25,B1,OK,N
DO56,C1055,A2055,2134.16,ACTIVE,CURRENT,2020-03-25,B11,OK,N
DO57,C1056,A2056,16216.42,INACTIVE,CURRENT,2024-11-01,B4,OK,Y
DO58,C1057,A2057,33866.32,ACTIVE,SAVINGS,2021-10-04,B5,OK,N
DO59,C1058,A2058,5815.06,ACTIVE,SAVINGS,2023-06-29,B8,OK,N
DO60,C1059,A2059,14403.9,INACTIVE,SAVINGS,2021-04-13,B13,OK,Y
DO61,C1060,A2060,18072.03,INACTIVE,LOAN,2024-09-28,B13,OK,Y
DO62,C1061,A2061,1679.37,ACTIVE,LOAN,2025-01-10,B2,OK,N
DO63,C1062,A2062,227.89,PENDING,LOAN,2021-04-21,B10,OK,Y
DO64,C1063,A2063,20519.48,INACTIVE,SAVINGS,2024-10-18,B11,OK,Y
DO65,C1064,A2064,30401.52,PENDING,CURRENT,2023-07-14,B10,OK,N
DO66,C1065,A2065,13222.84,INACTIVE,SAVINGS,2023-10-03,B15,OK,N
DO67,C1066,A2066,47237.15,PENDING,SAVINGS,2023-07-24,B15,OK,Y
DO68,C1067,A2067,29050.8,PENDING,CURRENT,2022-08-05,B4,OK,N
DO69,C1068,A2068,21581.27,PENDING,SAVINGS,2020-08-18,B14,OK,Y
DO70,C1069,A2069,15617.42,ACTIVE,CURRENT,2022-08-18,B8,OK,Y
DO71,C1070,A2070,48497.7,ACTIVE,LOAN,2021-11-08,B2,OK,N
DO72,C1071,A2071,3017.36,ACTIVE,CURRENT,2020-10-10,B19,OK,Y
DO73,C1072,A2072,33648.27,PENDING,CURRENT,2020-08-01,B16,OK,N
DO74,C1073,A2073,31557.3,ACTIVE,SAVINGS,2024-04-15,B12,OK,N
DO75,C1074,A2074,12046.75,ACTIVE,CURRENT,2024-12-07,B9,OK,Y
DO76,C1075,A2075,37401.04,ACTIVE,CURRENT,2021-08-25,B3,,Y
DO77,C1076,A2076,3087.2,ACTIVE,SAVINGS,2020-11-27,B9,OK,N
DO78,C1077,A2077,19808.45,INACTIVE,SAVINGS,2023-03-16,B17,OK,Y
DO79,C1078,A2078,25906.94,PENDING,SAVINGS,2021-07-23,B16,OK,Y
DO80,C1079,A2079,27664.1,ACTIVE,CURRENT,2023-05-21,B20,OK,Y
DO81,C1080,A2080,,PENDING,CURRENT,2023-08-18,B9,OK,Y
DO82,C1081,A2081,33856.99,PENDING,CURRENT,2025-02-14,B12,OK,N
DO83,C1082,A2082,37510.2,ACTIVE,CURRENT,2022-03-18,B5,OK,N
DO84,C1083,A2083,443.34,ACTIVE,CURRENT,2024-11-25,B10,OK,Y
DO85,C1084,A2084,29824.73,PENDING,CURRENT,2022-10-17,B10,OK,Y
DO86,C1085,A2085,8756.71,INACTIVE,CURRENT,2021-04-24,B6,OK,Y
DO87,C1086,A2086,25782.14,INACTIVE,SAVINGS,2024-12-13,B10,OK,N
DO88,C1087,A2087,20625.17,PENDING,LOAN,2021-06-30,B9,OK,Y
DO89,C1088,A2088,18305.04,INACTIVE,SAVINGS,2024-12-17,B9,OK,Y
DO90,C1089,A2089,36558.01,PENDING,SAVINGS,2023-02-17,B8,OK,Y
DO91,C1090,A2090,20525.98,ACTIVE,CURRENT,2021-04-07,B13,OK,N
DO92,C1091,A2091,31395.33,PENDING,CURRENT,2023-11-03,B1,OK,Y
DO93,C1092,A2092,28043.7,PENDING,LOAN,2025-01-28,B7,OK,Y
DO94,C1093,A2093,32093.91,INACTIVE,LOAN,2022-09-07,B14,OK,N
DO95,C1094,A2094,43029.02,INACTIVE,LOAN,2023-10-27,B19,OK,N
DO96,C1095,A2095,9144.96,ACTIVE,LOAN,2021-06-05,B2,OK,Y
DO97,C1096,A2096,11105.1,INACTIVE,CURRENT,2024-08-25,B13,OK,N
DO98,C1097,A2097,24251.01,PENDING,CURRENT,2020-06-16,B20,OK,Y
DO99,C1098,A2098,35926.81,ACTIVE,SAVINGS,2025-02-06,B9,OK,Y
DO100,C1099,A2099,17622.47,ACTIVE,SAVINGS,2024-07-15,B2,OK,Y
DO101,C1100,A2100,40155.47,ACTIVE,LOAN,2020-07-01,B19,,N
DO102,C1101,A2101,23609.3,PENDING,CURRENT,2023-04-24,B19,OK,N
DO103,C1102,A2102,48473.78,INACTIVE,SAVINGS,2022-05-03,B20,OK,N
DO104,C1103,A2103,42225.53,INACTIVE,LOAN,2021-07-29,B20,OK,N
DO105,C1104,A2104,6219.6,ACTIVE,SAVINGS,2022-11-21,B20,OK,Y
DO106,C1105,A2105,13635.83,ACTIVE,LOAN,2020-07-03,B17,OK,Y
DO107,C1106,A2106,34212.26,PENDING,LOAN,2020-11-21,B2,OK,N
DO108,C1107,A2107,45554.53,ACTIVE,SAVINGS,2022-02-21,B4,OK,N
DO109,C1108,A2108,30161.49,PENDING,CURRENT,2025-01-05,B12,OK,N
DO110,C1109,A2109,25473.69,PENDING,LOAN,2025-04-21,B6,OK,N
DO111,C1110,A2110,31608.43,ACTIVE,CURRENT,2020-11-05,B10,OK,N
DO112,C1111,A2111,32147.04,INACTIVE,LOAN,2025-03-27,B14,OK,N
DO113,C1112,A2112,4640.94,PENDING,LOAN,2022-02-13,B11,OK,N
DO114,C1113,A2113,49311.09,ACTIVE,CURRENT,2023-01-07,B4,OK,Y
DO115,C1114,A2114,15120.79,ACTIVE,CURRENT,2023-10-02,B20,OK,N
DO116,C1115,A2115,12797.43,INACTIVE,CURRENT,2024-01-07,B4,OK,N
DO117,C1116,A2116,3831.14,INACTIVE,SAVINGS,2022-07-17,B20,OK,N
DO118,C1117,A2117,10545.51,ACTIVE,CURRENT,2023-12-17,B9,OK,N
DO119,C1118,A2118,31303.18,ACTIVE,CURRENT,2021-09-11,B6,OK,N
DO120,C1119,A2119,36588.41,PENDING,SAVINGS,2022-10-17,B7,OK,Y
DO121,C1120,A2120,,ACTIVE,LOAN,2023-06-05,B15,OK,N
DO122,C1121,A2121,36270.79,PENDING,LOAN,2025-01-12,B1,OK,N
DO123,C1122,A2122,9440.51,ACTIVE,LOAN,2025-03-23,B18,OK,N
DO124,C1123,A2123,39436.38,INACTIVE,CURRENT,2022-09-25,B12,OK,Y
DO125,C1124,A2124,13233.33,ACTIVE,CURRENT,2023-02-22,B7,OK,N
DO126,C1125,A2125,11223.56,PENDING,CURRENT,2020-08-21,B14,,N
