loan_id,customer_id,account_id,amount,status,type,date,branch,remarks,flag
LO1,C1000,A2000,,ACTIVE,SAVINGS,2020-01-27,B6,,N
LO2,C1001,A2001,43343.22,PENDING,LOAN,2024-08-01,B14,OK,Y
LO3,C1002,A2002,27570.18,ACTIVE,LOAN,2020-12-10,B15,OK,Y
LO4,C1003,A2003,586.11,PENDING,SAVINGS,2024-09-21,B5,OK,Y
LO5,C1004,A2004,155.98,ACTIVE,LOAN,2023-08-11,B19,OK,Y
LO6,C1005,A2005,48461.69,PENDING,CURRENT,2023-12-27,B4,OK,N
LO7,C1006,A2006,18651.05,ACTIVE,LOAN,2023-09-09,B7,OK,Y
LO8,C1007,A2007,4206.61,ACTIVE,SAVINGS,2023-11-15,B10,OK,Y
LO9,C1008,A2008,3945.49,ACTIVE,SAVINGS,2025-03-29,B3,OK,N
LO10,C1009,A2009,37647.17,INACTIVE,CURRENT,2021-05-21,B5,OK,Y
LO11,C1010,A2010,29240.94,ACTIVE,CURRENT,2020-06-01,B12,OK,Y
LO12,C1011,A2011,38499.33,PENDING,LOAN,2020-03-29,B9,OK,Y
LO13,C1012,A2012,27839.23,PENDING,CURRENT,2025-01-22,B14,OK,Y
LO14,C1013,A2013,29610.53,ACTIVE,CURRENT,2023-12-26,B11,OK,N
LO15,C1014,A2014,8241.55,PENDING,CURRENT,2024-10-16,B10,OK,N
LO16,C1015,A2015,25480.78,PENDING,LOAN,2023-06-09,B14,OK,Y
LO17,C1016,A2016,2410.09,ACTIVE,CURRENT,2023-06-13,B14,OK,N
LO18,C1017,A2017,18619.82,PENDING,SAVINGS,2023-12-14,B5,OK,N
LO19,C1018,A2018,25207.34,ACTIVE,LOAN,2024-11-20,B9,OK,N
LO20,C1019,A2019,16820.37,INACTIVE,SAVINGS,2020-03-26,B4,OK,Y
LO21,C1020,A2020,21893.77,PENDING,CURRENT,2024-04-02,B12,OK,N
LO22,C1021,A2021,5989.09,INACTIVE,CURRENT,2025-06-01,B4,OK,Y
LO23,C1022,A2022,25985.38,PENDING,CURRENT,2024-02-05,B17,OK,Y
LO24,C1023,A2023,24917.51,PENDING,SAVINGS,2021-10-20,B4,OK,Y
LO25,C1024,A2024,27551.76,INACTIVE,SAVINGS,2022-09-22,B11,OK,Y
LO26,C1025,A2025,8333.79,ACTIVE,SAVINGS,2022-05-27,B11,,N
LO27,C1026,A2026,27712.93,PENDING,SAVINGS,2024-08-27,B12,OK,Y
LO28,C1027,A2027,34287.38,PENDING,SAVINGS,2023-07-18,B7,OK,Y
LO29,C1028,A2028,8818.57,PENDING,CURRENT,2022-06-11,B9,OK,Y
LO30,C1029,A2029,8060.19,INACTIVE,LOAN,2021-01-14,B6,OK,Y
LO31,C1030,A2030,41353.74,ACTIVE,LOAN,2023-06-24,B20,OK,N
LO32,C1031,A2031,28201.88,ACTIVE,LOAN,2025-05-07,B11,OK,N
LO33,C1032,A2032,12048.42,ACTIVE,SAVINGS,2025-01-10,B10,OK,Y
LO34,C1033,A2033,7119.73,ACTIVE,CURRENT,2020-04-16,B12,OK,N
LO35,C1034,A2034,43078.14,INACTIVE,SAVINGS,2025-04-01,B6,OK,N
LO36,C1035,A2035,36742.47,PENDING,SAVINGS,2024-01-10,B9,OK,N
LO37,C1036,A2036,16791.14,PENDING,CURRENT,2023-11-03,B5,OK,N
LO38,C1037,A2037,32297.68,INACTIVE,LOAN,2024-05-10,B14,OK,Y
LO39,C1038,A2038,921.44,ACTIVE,SAVINGS,2020-02-29,B7,OK,N
LO40,C1039,A2039,10194.22,INACTIVE,SAVINGS,2023-12-11,B2,OK,Y
LO41,C1040,A2040,,INACTIVE,SAVINGS,2023-02-18,B6,OK,Y
LO42,C1041,A2041,41377.57,ACTIVE,CURRENT,2022-12-24,B7,OK,Y
LO43,C1042,A2042,28386.01,ACTIVE,CURRENT,2020-11-24,B18,OK,N
LO44,C1043,A2043,46123.53,PENDING,CURRENT,2020-02-17,B18,OK,N
LO45,C1044,A2044,3398.03,INACTIVE,CURRENT,2023-03-18,B12,OK,N
LO46,C1045,A2045,20578.06,ACTIVE,LOAN,2020-09-11,B4,OK,N
LO47,C1046,A2046,49345.21,PENDING,CURRENT,2024-08-17,B6,OK,Y
LO48,C1047,A2047,19257.61,PENDING,CURRENT,2020-01-01,B20,OK,Y
LO49,C1048,A2048,14826.71,INACTIVE,CURRENT,2020-05-02,B16,OK,N
LO50,C1049,A2049,3084.23,ACTIVE,SAVINGS,2022-10-15,B20,OK,N
LO51,C1050,A2050,1862.06,ACTIVE,LOAN,2022-03-06,B18,,Y
LO52,C1051,A2051,29130.32,INACTIVE,SAVINGS,2024-08-19,B1,OK,Y
LO53,C1052,A2052,26543.77,PENDING,LOAN,2022-02-27,B9,OK,N
LO54,C1053,A2053,36241.9,ACTIVE,SAVINGS,2023-06-14,B14,OK,Y
LO55,C1054,A2054,36107.74,PENDING,SAVINGS,2024-12-05,B5,OK,N
LO56,C1055,A2055,32192.8,ACTIVE,CURRENT,2020-07-14,B2,OK,N
LO57,C1056,A2056,46832.18,INACTIVE,SAVINGS,2020-08-16,B16,OK,N
LO58,C1057,A2057,9120.96,ACTIVE,LOAN,2022-08-09,B3,OK,Y
LO59,C1058,A2058,46837.81,INACTIVE,LOAN,2020-11-17,B16,OK,N
LO60,C1059,A2059,12863.55,PENDING,CURRENT,2025-01-25,B16,OK,Y
LO61,C1060,A2060,33019.42,PENDING,SAVINGS,2020-12-27,B8,OK,Y
LO62,C1061,A2061,37033.48,ACTIVE,SAVINGS,2021-08-27,B4,OK,N
LO63,C1062,A2062,46862.16,ACTIVE,SAVINGS,2024-04-10,B12,OK,Y
LO64,C1063,A2063,22489.41,INACTIVE,LOAN,2023-01-23,B3,OK,N
LO65,C1064,A2064,29140.42,ACTIVE,LOAN,2023-05-16,B4,OK,N
LO66,C1065,A2065,29948.21,INACTIVE,CURRENT,2022-08-10,B16,OK,N
LO67,C1066,A2066,19188.91,INACTIVE,CURRENT,2024-05-24,B1,OK,Y
LO68,C1067,A2067,8694.31,INACTIVE,CURRENT,2024-11-16,B1,OK,Y
LO69,C1068,A2068,36587.39,PENDING,LOAN,2023-05-10,B11,OK,Y
LO70,C1069,A2069,42389.29,ACTIVE,LOAN,2023-08-30,B1,OK,N
LO71,C1070,A2070,37415.49,PENDING,SAVINGS,2022-07-15,B10,OK,N
LO72,C1071,A2071,3878.65,PENDING,LOAN,2025-02-09,B7,OK,N
LO73,C1072,A2072,15914.59,INACTIVE,LOAN,2022-03-12,B1,OK,Y
LO74,C1073,A2073,8560.63,INACTIVE,LOAN,2024-05-28,B5,OK,N
LO75,C1074,A2074,10763.76,PENDING,SAVINGS,2021-12-04,B18,OK,Y
LO76,C1075,A2075,7917.42,PENDING,LOAN,2024-07-10,B16,,Y
LO77,C1076,A2076,46803.41,ACTIVE,LOAN,2023-01-23,B4,OK,N
LO78,C1077,A2077,24650.63,ACTIVE,CURRENT,2024-10-29,B9,OK,N
LO79,C1078,A2078,14740.06,INACTIVE,SAVINGS,2022-12-09,B19,OK,Y
LO80,C1079,A2079,42802.08,PENDING,LOAN,2025-04-11,B4,OK,Y
LO81,C1080,A2080,,INACTIVE,SAVINGS,2021-02-18,B2,OK,Y
LO82,C1081,A2081,26045.56,PENDING,LOAN,2025-02-02,B15,OK,Y
LO83,C1082,A2082,27006.01,ACTIVE,SAVINGS,2022-05-05,B14,OK,Y
LO84,C1083,A2083,2008.96,PENDING,SAVINGS,2024-10-28,B11,OK,Y
LO85,C1084,A2084,7392.47,ACTIVE,LOAN,2023-04-08,B2,OK,N
LO86,C1085,A2085,42531.86,PENDING,SAVINGS,2021-10-30,B19,OK,Y
LO87,C1086,A2086,31283.12,INACTIVE,CURRENT,2021-07-06,B19,OK,N
LO88,C1087,A2087,11197.67,ACTIVE,LOAN,2020-05-14,B19,OK,Y
LO89,C1088,A2088,22746.23,INACTIVE,SAVINGS,2020-02-12,B4,OK,Y
LO90,C1089,A2089,1718.22,PENDING,SAVINGS,2023-06-07,B16,OK,N
LO91,C1090,A2090,36291.1,INACTIVE,CURRENT,2021-08-03,B9,OK,N
LO92,C1091,A2091,23942.26,ACTIVE,CURRENT,2025-01-01,B13,OK,N
LO93,C1092,A2092,47216.05,ACTIVE,LOAN,2020-11-10,B3,OK,N
LO94,C1093,A2093,10324.81,ACTIVE,CURRENT,2024-04-14,B9,OK,Y
LO95,C1094,A2094,11065.36,INACTIVE,SAVINGS,2024-02-29,B4,OK,Y
LO96,C1095,A2095,36580.92,ACTIVE,CURRENT,2021-04-27,B3,OK,Y
LO97,C1096,A2096,47067.91,PENDING,LOAN,2022-02-11,B7,OK,N
LO98,C1097,A2097,43827.26,PENDING,LOAN,2020-06-06,B15,OK,N
LO99,C1098,A2098,16607.01,INACTIVE,CURRENT,2023-10-25,B17,OK,Y
LO100,C1099,A2099,44232.39,ACTIVE,SAVINGS,2020-12-04,B1,OK,Y
LO101,C1100,A2100,12398.55,PENDING,LOAN,2024-02-02,B14,,N
LO102,C1101,A2101,31980.87,ACTIVE,CURRENT,2025-05-15,B17,OK,Y
