transaction_id,customer_id,account_id,amount,status,type,date,branch,remarks,flag
TR1,C1000,A2000,,INACTIVE,CURRENT,2022-09-25,B17,,Y
TR2,C1001,A2001,16107.35,ACTIVE,LOAN,2022-02-19,B4,OK,Y
TR3,C1002,A2002,39237.45,INACTIVE,SAVINGS,2022-08-18,B17,OK,N
TR4,C1003,A2003,43265.38,PENDING,SAVINGS,2025-04-10,B16,OK,Y
TR5,C1004,A2004,42571.69,ACTIVE,LOAN,2022-03-27,B11,OK,N
TR6,C1005,A2005,24409.07,ACTIVE,CURRENT,2020-06-13,B7,OK,Y
TR7,C1006,A2006,47450.79,INACTIVE,CURRENT,2024-07-20,B10,OK,Y
TR8,C1007,A2007,15018.95,INACTIVE,CURRENT,2024-11-06,B15,OK,N
TR9,C1008,A2008,41198.36,PENDING,CURRENT,2020-09-03,B12,OK,Y
TR10,C1009,A2009,41083.86,ACTIVE,LOAN,2023-04-18,B4,OK,N
TR11,C1010,A2010,857.45,INACTIVE,SAVINGS,2022-03-27,B15,OK,N
TR12,C1011,A2011,27312.83,INACTIVE,SAVINGS,2022-10-05,B2,OK,Y
TR13,C1012,A2012,18948.48,INACTIVE,CURRENT,2024-12-28,B1,OK,N
TR14,C1013,A2013,31462.08,ACTIVE,CURRENT,2020-11-03,B7,OK,N
TR15,C1014,A2014,43295.9,INACTIVE,CURRENT,2021-03-25,B7,OK,Y
TR16,C1015,A2015,30197.1,INACTIVE,LOAN,2023-10-18,B15,OK,N
TR17,C1016,A2016,23491.65,INACTIVE,CURRENT,2020-05-19,B8,OK,N
TR18,C1017,A2017,47037.45,INACTIVE,SAVINGS,2023-10-01,B13,OK,N
TR19,C1018,A2018,49792.88,ACTIVE,SAVINGS,2020-05-20,B9,OK,N
TR20,C1019,A2019,44194.22,INACTIVE,CURRENT,2022-08-11,B18,OK,Y
TR21,C1020,A2020,24626.95,INACTIVE,LOAN,2023-01-23,B4,OK,Y
TR22,C1021,A2021,44607.45,ACTIVE,LOAN,2020-10-23,B13,OK,Y
TR23,C1022,A2022,21191.77,PENDING,LOAN,2021-03-22,B5,OK,Y
TR24,C1023,A2023,27994.44,PENDING,SAVINGS,2025-03-30,B4,OK,Y
TR25,C1024,A2024,32273.55,ACTIVE,LOAN,2023-04-08,B18,OK,N
TR26,C1025,A2025,20843.69,INACTIVE,SAVINGS,2022-04-27,B15,,N
TR27,C1026,A2026,37209.21,INACTIVE,CURRENT,2022-03-25,B20,OK,Y
TR28,C1027,A2027,22866.79,INACTIVE,CURRENT,2024-10-30,B4,OK,N
TR29,C1028,A2028,13880.49,ACTIVE,CURRENT,2023-09-11,B2,OK,Y
TR30,C1029,A2029,39023.02,ACTIVE,LOAN,2023-09-11,B2,OK,Y
TR31,C1030,A2030,44051.38,INACTIVE,SAVINGS,2020-11-27,B14,OK,N
TR32,C1031,A2031,30957.36,ACTIVE,CURRENT,2023-01-30,B19,OK,N
TR33,C1032,A2032,6115.44,PENDING,CURRENT,2020-04-26,B1,OK,Y
TR34,C1033,A2033,12015.07,PENDING,CURRENT,2023-08-22,B13,OK,N
TR35,C1034,A2034,6424.3,PENDING,SAVINGS,2023-03-10,B19,OK,Y
TR36,C1035,A2035,27705.3,ACTIVE,LOAN,2021-04-30,B7,OK,Y
